_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID_x,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID_y
5e26541ef9af8b67acde4c71,0039,"Sat, 04 Jan 2020 16:03:06 GMT","Sun, 05 Jan 2020 00:17:36 GMT","Sat, 04 Jan 2020 16:33:26 GMT",0.845,2_39_131_30_2020-01-04 16:03:05.854880,0002,CA-305,2-39-131-30,America/Los_Angeles,,400.0,8.0,20.0,61.0,"Sat, 04 Jan 2020 01:00:23 GMT",True,"Sat, 04 Jan 2020 02:00:57 GMT",1920.0
5e26541ef9af8b67acde4c72,0039,"Sat, 04 Jan 2020 16:35:51 GMT","Sat, 04 Jan 2020 17:57:53 GMT","Sat, 04 Jan 2020 17:57:48 GMT",8.696,2_39_129_17_2020-01-04 16:35:50.900297,0002,CA-307,2-39-129-17,America/Los_Angeles,000001938,600.0,36.0,60.0,287.0,"Sat, 04 Jan 2020 02:19:53 GMT",True,"Sat, 04 Jan 2020 07:06:38 GMT",838.0
5e26541ef9af8b67acde4c73,0039,"Sat, 04 Jan 2020 16:45:48 GMT","Sun, 05 Jan 2020 01:11:35 GMT","Sat, 04 Jan 2020 23:48:30 GMT",47.386,2_39_79_377_2020-01-04 16:45:48.379080,0002,CA-325,2-39-79-377,America/Los_Angeles,000000248,600.0,36.0,60.0,287.0,"Sat, 04 Jan 2020 02:20:03 GMT",True,"Sat, 04 Jan 2020 07:06:38 GMT",838.0
5e26541ef9af8b67acde4c74,0039,"Sat, 04 Jan 2020 17:36:05 GMT","Sat, 04 Jan 2020 18:44:00 GMT","Sat, 04 Jan 2020 18:43:52 GMT",3.64,2_39_128_18_2020-01-04 17:36:05.318091,0002,CA-308,2-39-128-18,America/Los_Angeles,000000365,520.0,104.0,200.0,715.0,"Sat, 04 Jan 2020 03:21:52 GMT",True,"Sat, 04 Jan 2020 15:16:06 GMT",1238.0
5e26541ef9af8b67acde4c75,0039,"Sat, 04 Jan 2020 19:20:38 GMT","Sat, 04 Jan 2020 20:16:08 GMT","Sat, 04 Jan 2020 20:16:00 GMT",0.879,2_39_129_17_2020-01-04 19:20:38.030150,0002,CA-307,2-39-129-17,America/Los_Angeles,,,,,,,,,
5e26541ef9af8b67acde4c76,0039,"Sat, 04 Jan 2020 20:13:10 GMT","Sat, 04 Jan 2020 22:22:06 GMT","Sat, 04 Jan 2020 21:07:40 GMT",2.505,2_39_125_21_2020-01-04 20:13:09.963739,0002,CA-311,2-39-125-21,America/Los_Angeles,000001920,400.0,8.0,20.0,140.0,"Sat, 04 Jan 2020 16:35:53 GMT",True,"Sat, 04 Jan 2020 18:55:51 GMT",1938.0
5e26541ef9af8b67acde4c77,0039,"Sat, 04 Jan 2020 23:36:53 GMT","Sun, 05 Jan 2020 00:08:53 GMT","Sun, 05 Jan 2020 00:09:51 GMT",0.79,2_39_127_19_2020-01-04 23:36:53.158060,0002,CA-309,2-39-127-19,America/Los_Angeles,,400.0,16.0,40.0,140.0,"Sat, 04 Jan 2020 16:36:07 GMT",True,"Sat, 04 Jan 2020 18:55:51 GMT",1938.0
5e26541ef9af8b67acde4c78,0039,"Sun, 05 Jan 2020 00:08:56 GMT","Sun, 05 Jan 2020 00:42:18 GMT","Sun, 05 Jan 2020 00:40:59 GMT",0.787395277777778,2_39_127_19_2020-01-05 00:08:56.486738,0002,CA-309,2-39-127-19,America/Los_Angeles,,400.0,16.0,40.0,140.0,"Sat, 04 Jan 2020 17:57:48 GMT",True,"Sat, 04 Jan 2020 18:55:51 GMT",1938.0
5e26541ef9af8b67acde4c79,0039,"Sun, 05 Jan 2020 00:14:24 GMT","Sun, 05 Jan 2020 01:49:46 GMT","Sun, 05 Jan 2020 00:44:33 GMT",0.877,2_39_138_29_2020-01-05 00:14:24.357979,0002,CA-304,2-39-138-29,America/Los_Angeles,,250.0,47.5,190.0,576.0,"Sat, 04 Jan 2020 16:46:41 GMT",True,"Sun, 05 Jan 2020 02:21:48 GMT",248.0
5e26541ef9af8b67acde4c7a,0039,"Sun, 05 Jan 2020 00:42:28 GMT","Sun, 05 Jan 2020 01:13:52 GMT","Sun, 05 Jan 2020 01:13:47 GMT",0.778,2_39_126_20_2020-01-05 00:42:28.223622,0002,CA-310,2-39-126-20,America/Los_Angeles,,333.0,9.99,30.0,104.0,"Sat, 04 Jan 2020 17:36:23 GMT",True,"Sat, 04 Jan 2020 19:20:05 GMT",365.0
